candidate,fold,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,train_auprc,validation_auprc,validation_auroc
22,1,0.6,6.0,1.0,3,1.0,4,64,0.19274023721076441,0.15555231052851468,0.634481218153168
22,2,0.6,6.0,1.0,3,1.0,4,64,0.19266278208551468,0.15586480983370543,0.6287294298570988
22,3,0.6,6.0,1.0,3,1.0,4,64,0.19526233553473027,0.16212167049727005,0.6380571929125157
22,4,0.6,6.0,1.0,3,1.0,4,64,0.2019795301099026,0.13407988936500154,0.6091426215881617
22,5,0.6,6.0,1.0,3,1.0,4,64,0.19762845730336814,0.1468510860688078,0.6354290146433274
23,1,1.0,4.0,5.0,3,10.0,7,128,0.2505933059641074,0.15444478537965456,0.6312040742285011
23,2,1.0,4.0,5.0,3,10.0,7,128,0.2490240465840971,0.15696313772309076,0.6269579202157326
23,3,1.0,4.0,5.0,3,10.0,7,128,0.2496026430467884,0.1588637534763681,0.6309916755822957
23,4,1.0,4.0,5.0,3,10.0,7,128,0.24749234311862406,0.13502444127531849,0.6137201699325667
23,5,1.0,4.0,5.0,3,10.0,7,128,0.24991960044384126,0.14232919849665362,0.6319568686954977
24,1,0.8,10.134239310573417,5.0,1,50.0,9,254,0.3024590402596834,0.15310942069223915,0.6257054360951521
24,2,0.8,10.134239310573417,5.0,1,50.0,9,254,0.2843223964247224,0.15118303762378857,0.6169442744743412
24,3,0.8,10.134239310573417,5.0,1,50.0,9,254,0.2808490553525024,0.15711672104690683,0.6322806789166731
24,4,0.8,10.134239310573417,5.0,1,50.0,9,254,0.29199780381702767,0.13608553079224045,0.6153964437827217
24,5,0.8,10.134239310573417,5.0,1,50.0,9,254,0.29785385580481166,0.14298282072589386,0.6361070092437784
25,1,0.6,6.0,0.5,2,1.0,5,64,0.2432314728076574,0.14857403464491825,0.6284792579315872
25,2,0.6,6.0,0.5,2,1.0,5,64,0.24100540393078274,0.15162444822608723,0.6204569698873142
25,3,0.6,6.0,0.5,2,1.0,5,64,0.24434023657253964,0.1574422501979619,0.632627812152104
25,4,0.6,6.0,0.5,2,1.0,5,64,0.24438463837135613,0.13571240865282017,0.6136838294219825
25,5,0.6,6.0,0.5,2,1.0,5,64,0.24204496802276096,0.139437296140411,0.630870450147735
26,1,0.8,4.0,5.0,1,20.0,4,64,0.17531282428270611,0.15717450747584105,0.6342881742322917
26,2,0.8,4.0,5.0,1,20.0,4,64,0.18018897427145064,0.1539593815732987,0.6256813394486471
26,3,0.8,4.0,5.0,1,20.0,4,64,0.1772283146990315,0.16423202101928874,0.6363030852822288
26,4,0.8,4.0,5.0,1,20.0,4,64,0.1864692110094761,0.1372484772867117,0.6152630144453529
26,5,0.8,4.0,5.0,1,20.0,4,64,0.18414850675127756,0.14340233827400298,0.6339444776661799
27,1,0.6,4.0,2.0,1,10.0,7,254,0.29528004340265157,0.1507652610798162,0.6283779978664992
27,2,0.6,4.0,2.0,1,10.0,7,254,0.2978239164331388,0.15542771519444568,0.6242157759932422
27,3,0.6,4.0,2.0,1,10.0,7,254,0.299304624168314,0.15776744035914037,0.6333269601840891
27,4,0.6,4.0,2.0,1,10.0,7,254,0.3023309283079991,0.13722545958603402,0.6151238899533403
27,5,0.6,4.0,2.0,1,10.0,7,254,0.30369126884949116,0.144922677411056,0.6300636365731983
28,1,0.6,6.0,5.0,4,3.0,10,64,0.6439349692209255,0.1506114994662423,0.6162286852977966
28,2,0.6,6.0,5.0,4,3.0,10,64,0.6841892887485643,0.14426268818846383,0.6078481965419958
28,3,0.6,6.0,5.0,4,3.0,10,64,0.6839219968914259,0.13861095054231376,0.6006205006583327
28,4,0.6,6.0,5.0,4,3.0,10,64,0.6419794611482469,0.1321357714832247,0.6004312045658868
28,5,0.6,6.0,5.0,4,3.0,10,64,0.6294720085881236,0.13660818205617845,0.6104717622028858
29,1,0.8,1.0,1.0,4,50.0,5,64,0.17177049781891246,0.15767327321529823,0.6352848007017811
29,2,0.8,1.0,1.0,4,50.0,5,64,0.17568152954856617,0.152735473595152,0.6292998976569396
29,3,0.8,1.0,1.0,4,50.0,5,64,0.17547945626358072,0.16784782804568585,0.6372788551111979
29,4,0.8,1.0,1.0,4,50.0,5,64,0.18274261650173398,0.13498017084459274,0.6151328394820663
29,5,0.8,1.0,1.0,4,50.0,5,64,0.18600686356766843,0.14565372493912873,0.6395398315047819
30,1,1.0,2.0,5.0,4,1.0,6,64,0.22433164261077895,0.15346572246672022,0.6310941502006249
30,2,1.0,2.0,5.0,4,1.0,6,64,0.23144750854169147,0.15505891130648208,0.6283801638571963
30,3,1.0,2.0,5.0,4,1.0,6,64,0.2264836779169267,0.16355598715573372,0.6376864654649891
30,4,1.0,2.0,5.0,4,1.0,6,64,0.23422185884571284,0.13514526690501583,0.6140149619848427
30,5,1.0,2.0,5.0,4,1.0,6,64,0.2393796205587635,0.14458861944891307,0.6312669413900788
