candidate,fold,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,train_auprc,validation_auprc,validation_auroc
20,4,1.0,6.0,2.0,2,3.0,7,128,0.29134604353102944,0.14077208680690273,0.6069472750719013
20,5,1.0,6.0,2.0,2,3.0,7,128,0.2705360352030934,0.14050575518335937,0.6311687677719335
21,1,1.0,1.0,2.0,1,10.0,5,64,0.19057920249028876,0.14377853435653073,0.6278814444991958
21,2,1.0,1.0,2.0,1,10.0,5,64,0.19568493752442503,0.14308412983288654,0.6277942633736389
21,3,1.0,1.0,2.0,1,10.0,5,64,0.1839864614286978,0.1385320721571694,0.6286097449519913
21,4,1.0,1.0,2.0,1,10.0,5,64,0.1826827666103948,0.14717538423701765,0.6227597363414599
21,5,1.0,1.0,2.0,1,10.0,5,64,0.19018947299479405,0.14696941391807788,0.6372067164857099
22,1,0.6,6.0,1.0,3,1.0,4,64,0.1843918580532375,0.14431099375277823,0.6317764372702019
22,2,0.6,6.0,1.0,3,1.0,4,64,0.18837436324999757,0.1430530515917932,0.6275083526016256
22,3,0.6,6.0,1.0,3,1.0,4,64,0.18797316961339164,0.13888485842711726,0.6292164145204748
22,4,0.6,6.0,1.0,3,1.0,4,64,0.1867900912700999,0.1425941037242861,0.6193624409975199
22,5,0.6,6.0,1.0,3,1.0,4,64,0.18180710474353107,0.14292402372488316,0.6319536143214155
23,1,1.0,4.0,5.0,3,10.0,7,128,0.24819543121767262,0.14449599278090153,0.6235505461004044
23,2,1.0,4.0,5.0,3,10.0,7,128,0.2669918362502369,0.13734531141655196,0.6209028932220735
23,3,1.0,4.0,5.0,3,10.0,7,128,0.2335653213429561,0.1393633767050031,0.632014362637616
23,4,1.0,4.0,5.0,3,10.0,7,128,0.24092078774234263,0.14190767763561055,0.6165102533123427
23,5,1.0,4.0,5.0,3,10.0,7,128,0.24759358563571962,0.14155215189973502,0.6333047219611943
24,1,0.8,10.134239310573417,5.0,1,50.0,9,254,0.270538958434459,0.14131985655970628,0.6277487775690005
24,2,0.8,10.134239310573417,5.0,1,50.0,9,254,0.31844237297614214,0.13573922077359074,0.6149101384609553
24,3,0.8,10.134239310573417,5.0,1,50.0,9,254,0.28534639153589847,0.13753363767371324,0.6263460565800054
24,4,0.8,10.134239310573417,5.0,1,50.0,9,254,0.3027870836152267,0.14313938006254232,0.6110976868180222
24,5,0.8,10.134239310573417,5.0,1,50.0,9,254,0.29962102620961717,0.13200512926653865,0.6213248285690652
25,1,0.6,6.0,0.5,2,1.0,5,64,0.23547282194655977,0.1401100683467595,0.6267421333925371
25,2,0.6,6.0,0.5,2,1.0,5,64,0.24027468470108485,0.1394786315170351,0.6183261765390717
25,3,0.6,6.0,0.5,2,1.0,5,64,0.23287879833052644,0.14065750456111054,0.6280315511567265
25,4,0.6,6.0,0.5,2,1.0,5,64,0.2314621314242698,0.13825733635942505,0.602969073954295
25,5,0.6,6.0,0.5,2,1.0,5,64,0.22780306051599397,0.13848950871599658,0.6279735148189279
26,1,0.8,4.0,5.0,1,20.0,4,64,0.1726876407546213,0.1421888250431308,0.6245978026024378
26,2,0.8,4.0,5.0,1,20.0,4,64,0.17545523545862116,0.1405949827794069,0.6270859844156969
26,3,0.8,4.0,5.0,1,20.0,4,64,0.17455123332336833,0.13908068290765516,0.6302328640254709
26,4,0.8,4.0,5.0,1,20.0,4,64,0.17250182761388766,0.14707624156121232,0.6230227982464348
26,5,0.8,4.0,5.0,1,20.0,4,64,0.17225790777493832,0.14550824750516356,0.6361154163768239
27,1,0.6,4.0,2.0,1,10.0,7,254,0.2933068082173927,0.14181366649589022,0.6226037374169477
27,2,0.6,4.0,2.0,1,10.0,7,254,0.31576200606519345,0.1346358992031177,0.6155574989305421
27,3,0.6,4.0,2.0,1,10.0,7,254,0.30060320475505103,0.13993027479933565,0.6322744413663489
27,4,0.6,4.0,2.0,1,10.0,7,254,0.2944530228102071,0.14524659987678684,0.6146319370712532
27,5,0.6,4.0,2.0,1,10.0,7,254,0.2931172911460238,0.14078608069550844,0.627558582123452
28,1,0.6,6.0,5.0,4,3.0,10,64,0.6816218469140217,0.13252226323524643,0.6170282066138527
28,2,0.6,6.0,5.0,4,3.0,10,64,0.7146536238799995,0.12622018819424283,0.5979910436284676
28,3,0.6,6.0,5.0,4,3.0,10,64,0.6668533428149357,0.13552151769717402,0.6109851397143473
28,4,0.6,6.0,5.0,4,3.0,10,64,0.6579860542169532,0.13355530825296305,0.5895097963439819
28,5,0.6,6.0,5.0,4,3.0,10,64,0.7092494793794762,0.1212110083536257,0.5989675498224333
29,1,0.8,1.0,1.0,4,50.0,5,64,0.17187762339877063,0.14288504880057545,0.6275936384853228
29,2,0.8,1.0,1.0,4,50.0,5,64,0.18150527561705182,0.1423412539701332,0.6252584297650442
29,3,0.8,1.0,1.0,4,50.0,5,64,0.17056707667785917,0.13729328035710986,0.6255720579441306
29,4,0.8,1.0,1.0,4,50.0,5,64,0.17326055208771374,0.1475882557575271,0.6231038864006486
29,5,0.8,1.0,1.0,4,50.0,5,64,0.16989658849728936,0.14589301229856044,0.634738273744388
30,1,1.0,2.0,5.0,4,1.0,6,64,0.22357748129589486,0.14143501556030158,0.6246939184396203
30,2,1.0,2.0,5.0,4,1.0,6,64,0.23433537901682755,0.14032413451390927,0.6252735916999238
30,3,1.0,2.0,5.0,4,1.0,6,64,0.22224073468680536,0.13804526905133788,0.6283317671658062
30,4,1.0,2.0,5.0,4,1.0,6,64,0.22232668441717904,0.14564053508823926,0.6163060413386867
