candidate,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,mean_train_auprc,std_train_auprc,mean_validation_auprc,std_validation_auprc,mean_validation_auroc,std_validation_auroc,train_validation_auprc_gap,rank_validation_auprc
27,0.6,4.0,2.0,1,10.0,7,254,0.29944846659877367,0.009620592485182718,0.14048250421412775,0.003842151307039172,0.6225252393817089,0.0076033096213717006,0.15896596238464591,18
14,1.0,10.134239310573417,1.0,4,50.0,7,128,0.2116182223999917,0.00514359209864218,0.14041534301253758,0.003857115444710197,0.62635999605919,0.006214018184174108,0.07120287938745412,19
20,1.0,6.0,2.0,2,3.0,7,128,0.28821763749497065,0.012946406271910653,0.13978854895995857,0.001751697813931455,0.6207460860920776,0.009384610722611124,0.14842908853501208,20
18,1.0,4.0,0.0,3,3.0,4,254,0.20434144008792385,0.004046314016668282,0.13943993210492794,0.0023113816210355823,0.6241636602096168,0.00535605994912924,0.0649015079829959,21
25,0.6,6.0,0.5,2,1.0,5,64,0.23357829938368696,0.004657028145583952,0.13939860990006533,0.0010279059545507847,0.6208084899723116,0.010760169166996477,0.09417968948362163,22
4,0.8,6.0,1.0,4,5.0,7,64,0.31134573775971386,0.01742152935727004,0.13885539770127844,0.003426113767378352,0.6218097012119104,0.011070130795804869,0.17249034005843542,23
7,1.0,1.0,5.0,1,3.0,9,128,0.4311058534307768,0.02315709242671098,0.13865956041366928,0.0007869261874342364,0.6175940227421299,0.009322427258997738,0.2924462930171075,24
24,0.8,10.134239310573417,5.0,1,50.0,9,254,0.29534716655426874,0.018182886823744072,0.13794744486721824,0.004435311613495391,0.6202854975994099,0.007190644698985696,0.1573997216870505,25
16,0.6,4.0,0.5,2,10.0,7,64,0.3446711757525561,0.016970226856959578,0.13686262404047816,0.0027942075212408295,0.6197697894927343,0.014413742246567994,0.20780855171207796,26
19,0.6,10.134239310573417,1.0,1,10.0,7,128,0.31333920671715443,0.01337595477421805,0.13623655464246417,0.0037963739351290706,0.6154866768717875,0.010609942053594345,0.17710265207469025,27
6,0.6,6.0,5.0,4,10.0,10,254,0.54370890554073,0.02991461240175676,0.13324804795579773,0.00245481843595933,0.6131619380045509,0.009465831955089937,0.41046085758493234,28
28,0.6,6.0,5.0,4,3.0,10,64,0.6860728694410774,0.025159917364918336,0.1298060571466504,0.00593368495491673,0.6028963472246166,0.0109981272339508,0.556266812294427,29
3,0.8,2.0,1.0,3,3.0,10,64,0.736874141985116,0.02237979836610765,0.12836776202641378,0.004327845008461935,0.6031738043468685,0.01188402921987963,0.6085063799587023,30
