model,weight_label,weight_type,positive_to_negative_ratio,cv_mean_auprc,cv_std_auprc,cv_mean_auroc,cv_std_auroc,cv_mean_brier,val_threshold,val_auprc,val_auroc,val_brier_score,val_recall,val_precision,val_specificity,val_false_positive_rate,val_f2,val_balanced_accuracy,val_predicted_positive_rate
Random Forest,manual_6,manual,6.0,0.14924445025027797,0.003856801973048745,0.6352429574466631,0.0064626109655473865,0.1512074895158566,0.3068209530054661,0.13828869793323678,0.6216989271038935,0.15273270142125078,0.8003182179793158,0.1088273474686283,0.3534259477278079,0.6465740522721921,0.3524383408071749,0.5768720828535618,0.6603800542934705
Random Forest,manual_8,manual,8.0,0.14918707270143225,0.004427273931193716,0.6353320082591845,0.006379655072150871,0.18919876967129162,0.370362620153069,0.1391258042823964,0.6224683097938571,0.19118646039578946,0.8003182179793158,0.10820694847800366,0.34926614865395184,0.6507338513460482,0.35113438045375217,0.5747921833166338,0.6641663094727819
Random Forest,manual_10,manual,10.0,0.14837540379923983,0.003962968451454521,0.6343538089905681,0.00564745939913284,0.22568853589531873,0.42098875963200844,0.13831901851706058,0.6223477386224303,0.22809136501727847,0.8003182179793158,0.10805585392051557,0.3482458205792324,0.6517541794207676,0.350816013390989,0.5742820192792741,0.6650950135733676
Random Forest,balanced,automatic_reference,10.135242641209228,0.14876282646521002,0.004115453610264929,0.6344212966633472,0.006513565707184967,0.22803887558800132,0.42340442405256085,0.13779945180868736,0.6224840446127071,0.23041252683991473,0.8003182179793158,0.10784734133790738,0.3468330586296209,0.6531669413703791,0.3503761493452215,0.5735756383044683,0.6663809115587941
Random Forest,balanced_subsample,automatic_reference,10.135242641209228,0.14743811419039726,0.004789737846965378,0.6329357384470387,0.006026369484079807,0.22102738480358317,0.4161341458599541,0.13808052459071993,0.6216755746346478,0.224313032203364,0.8003182179793158,0.10685077004779607,0.3400047092064987,0.6599952907935013,0.34826559579034827,0.5701614635929073,0.6725960851550221
Regularised Logistic Regression,manual_1,manual,1.0,0.1514750550581429,0.0064739898460262815,0.6333916584871881,0.004885753463846027,0.08005345948604743,0.06740764600230212,0.13586028588484664,0.6214066465997774,0.08063460395278726,0.8003182179793158,0.10990931934884737,0.3605682442508437,0.6394317557491562,0.35469995063817783,0.5804432311150798,0.6538791255893699
Regularised Logistic Regression,manual_2,manual,2.0,0.15155012416926922,0.0063905632077899234,0.6331730991797706,0.004617708514067024,0.08590845304464292,0.12555951584541236,0.13583061814420436,0.6215340237047543,0.08670876016919263,0.8003182179793158,0.1106467223933128,0.3653559375245271,0.6346440624754729,0.3562322946175637,0.5828370777519214,0.6495213601943135
Regularised Logistic Regression,manual_4,manual,4.0,0.15126355213192638,0.0063273417536839375,0.6330208963489619,0.004463733803782481,0.11645484597374342,0.22109170985583873,0.13580172263389947,0.6218999206827762,0.11751492742037047,0.8003182179793158,0.11031911393793178,0.3632367946001099,0.6367632053998901,0.3555524139393511,0.5817775062897128,0.6514502071724532
Regularised Logistic Regression,manual_6,manual,6.0,0.15117113636897392,0.006317152029029436,0.6329454622666794,0.004376820464835891,0.1551546053777966,0.2976915337287316,0.1358605940393784,0.6221929504639805,0.15636981336543923,0.8003182179793158,0.11051301768647699,0.36449258299976456,0.6355074170002355,0.355954992569528,0.5824054004895401,0.650307186740963
Regularised Logistic Regression,manual_8,manual,8.0,0.1510734100733016,0.006339769867519111,0.6328920931740896,0.00431159921612673,0.19449322615690717,0.3603815116987409,0.13585189018841737,0.6224121140122494,0.19580768223566378,0.8003182179793158,0.11047660882934329,0.3642571226748293,0.6357428773251708,0.35587943964907315,0.5822876703270725,0.6505215030718674
Regularised Logistic Regression,manual_10,manual,10.0,0.15103590803087638,0.006363281355799597,0.6328701327000841,0.0042631372627747275,0.23195668014971288,0.4123899956691497,0.13586046830761966,0.622569025122449,0.23333956308518408,0.8003182179793158,0.11036752605595172,0.36355074170002355,0.6364492582999765,0.3556529732022909,0.5819344798396697,0.6511644520645806
Regularised Logistic Regression,balanced,automatic_reference,10.135242641209228,0.15106282960683037,0.006458122887132696,0.6332038626414945,0.004344117290209108,0.2344213398131699,0.4154247913796451,0.1359185050458682,0.6227828812913441,0.23580385754144045,0.8003182179793158,0.1100415663968497,0.3614315987756063,0.6385684012243937,0.3549752999294284,0.580874908377461,0.6530932990427204
XGBoost,manual_1,manual,1.0,0.15103909086474973,0.004480331799557756,0.6339598308801976,0.0058956763439996646,0.07996923923492431,0.0643564909696579,0.13918076371205187,0.6267982884263477,0.08041185140609741,0.8003182179793158,0.10928843020097773,0.35648693195196607,0.6435130680480339,0.3534040609850348,0.578402574965641,0.6575939419917131
XGBoost,manual_2,manual,2.0,0.15151861953993934,0.0042578457442489556,0.6343980064409424,0.005536189117381198,0.08592105954885483,0.12290173768997192,0.14015801509389567,0.62846446213113,0.0865224078297615,0.8003182179793158,0.11102527314865909,0.367789027548858,0.632210972451142,0.35701611186031657,0.5840536227640869,0.6473067581083012
XGBoost,manual_4,manual,4.0,0.1516357764037976,0.004332849213524363,0.6346556897986172,0.005825688791006095,0.11614464670419693,0.21566909551620483,0.14059083992267124,0.6284872838624385,0.11714715510606766,0.8003182179793158,0.10963382737576285,0.35876304842634016,0.6412369515736598,0.3541255984229794,0.579540633202828,0.6555222174596371
XGBoost,manual_6,manual,6.0,0.15146547030283036,0.004375774710475687,0.6337870778017809,0.004985478638384585,0.1539781004190445,0.2904823422431946,0.1408766643371509,0.6287679817915677,0.1554439812898636,0.8003182179793158,0.10955025590765545,0.3582136410014912,0.6417863589985088,0.35395116459080994,0.5792659294904035,0.6560222888984141
XGBoost,manual_8,manual,8.0,0.15162041658399933,0.004262239356286605,0.634062135835334,0.005083288764118869,0.1921955466270447,0.3538811504840851,0.13982307049299514,0.6275936148354865,0.1941034495830536,0.8003182179793158,0.10938349461781016,0.3571148261517934,0.6428851738482065,0.35360281195079085,0.5787165220655546,0.657022431775968
XGBoost,manual_10,manual,10.0,0.1519086815698888,0.00511788546749935,0.6348518068900877,0.004772142212836019,0.22863039672374724,0.406984806060791,0.14011176231770206,0.6276980141097618,0.23079650104045868,0.8003182179793158,0.1101017839553464,0.3618240326504984,0.6381759673495017,0.3551006000705965,0.5810711253149071,0.6527361051578797
XGBoost,imbalance_ratio_reference,automatic_reference,10.135242641209228,0.1515608876698742,0.004975896374848152,0.6342081015753125,0.0042047708005621175,0.23094365000724792,0.4087330102920532,0.1400040203514723,0.6276954228598319,0.23315122723579407,0.8003182179793158,0.10971752644781328,0.3593124558511891,0.6406875441488109,0.35430020426850745,0.5798153369152524,0.6550221460208602
