model_a,model_b,metric,difference_definition,mean_difference,bootstrap_sd,ci_2_5,ci_97_5,ci_includes_zero
Random Forest,CatBoost,fpr_80,model_a - model_b,-0.0036019165620493243,0.0023814192836787026,-0.00822951732414479,0.0010961814973043677,True
Random Forest,CatBoost,f2_80,model_a - model_b,0.004014642552975397,0.0029319366138048,-0.001723012723773738,0.009874268887515334,True
Random Forest,FT-Transformer,auprc,model_a - model_b,-0.0005677905625636445,0.0029414797702114956,-0.006213160158852675,0.00520792868159079,True
Random Forest,FT-Transformer,auroc,model_a - model_b,0.0005257472675188357,0.0024622754982170808,-0.00441166447974028,0.005317800596037331,True
Random Forest,FT-Transformer,brier_score,model_a - model_b,-0.005082140284210359,0.0004085354777046875,-0.005877248646375378,-0.004277943877560312,False
Random Forest,FT-Transformer,recall_80,model_a - model_b,-0.008906476675304226,0.006552328661093646,-0.021739130434782594,0.00394057826968324,True
Random Forest,FT-Transformer,precision_80,model_a - model_b,0.00016189243222204265,0.0009033329739697735,-0.0016401431080540678,0.001922129539584422,True
Random Forest,FT-Transformer,fpr_80,model_a - model_b,-0.007950366273025354,0.002429320593590806,-0.01280324451524826,-0.003305734231643147,False
Random Forest,FT-Transformer,f2_80,model_a - model_b,-0.0010837467015274794,0.0028461548070964453,-0.0067066996042372444,0.0046138477581593364,True
XGBoost,CatBoost,auprc,model_a - model_b,0.0010667506976095135,0.002406435350339133,-0.0035240007982587787,0.005715649828505362,True
XGBoost,CatBoost,auroc,model_a - model_b,0.0044888149826996454,0.003016101103512248,-0.0012464355149889804,0.010283887502946457,True
XGBoost,CatBoost,brier_score,model_a - model_b,0.07344310220232607,0.0014612480514213718,0.07051770133998268,0.07622662153715155,False
XGBoost,CatBoost,recall_80,model_a - model_b,-0.0025964955321682985,0.007926286931832477,-0.01758983136071784,0.013754045307443289,True
XGBoost,CatBoost,precision_80,model_a - model_b,0.0013968480380506438,0.001117720594461373,-0.0007505678392135381,0.0035919595245258694,True
XGBoost,CatBoost,fpr_80,model_a - model_b,-0.01082484360776837,0.0029858500852093617,-0.016602027989021908,-0.005094137675463534,False
XGBoost,CatBoost,f2_80,model_a - model_b,0.0024489770209480217,0.00349444825142454,-0.004210162179390008,0.009334144925788592,True
XGBoost,FT-Transformer,auprc,model_a - model_b,-0.0034252602434306566,0.0021391705226900975,-0.0075457835808985085,0.0005581534843572099,True
XGBoost,FT-Transformer,auroc,model_a - model_b,-0.0008715688349637108,0.0022271260283668807,-0.005261657048778029,0.00342543142950054,True
XGBoost,FT-Transformer,brier_score,model_a - model_b,0.06843883539575966,0.0010860396776781556,0.06628132942724697,0.07054653314824114,False
XGBoost,FT-Transformer,recall_80,model_a - model_b,-0.018347478721690885,0.00679323829034016,-0.031696978844363934,-0.005514862612874487,False
XGBoost,FT-Transformer,precision_80,model_a - model_b,0.00014278085666623747,0.000947760881153725,-0.0017079070915553452,0.001990284985117068,True
XGBoost,FT-Transformer,fpr_80,model_a - model_b,-0.0151732933187444,0.0024842032545841987,-0.020371407504001793,-0.010276766761086301,False
XGBoost,FT-Transformer,f2_80,model_a - model_b,-0.0026494122335548546,0.0029788503455045255,-0.008474009471332943,0.003137391174973831,True
CatBoost,FT-Transformer,auprc,model_a - model_b,-0.0044920109410401705,0.0024389466077807264,-0.009418059308394526,0.00023914483144151202,True
CatBoost,FT-Transformer,auroc,model_a - model_b,-0.005360383817663356,0.0026624857207286565,-0.010715984247237614,-6.737820350704613e-05,False
CatBoost,FT-Transformer,brier_score,model_a - model_b,-0.005004266806566383,0.00039468461486372414,-0.005772353874978226,-0.004240488481805759,False
CatBoost,FT-Transformer,recall_80,model_a - model_b,-0.01575098318952258,0.0076718962771060925,-0.030638706430520038,-0.0007967337001201756,False
CatBoost,FT-Transformer,precision_80,model_a - model_b,-0.0012540671813844062,0.0010469209070149488,-0.003293009708640145,0.000781853619792758,True
CatBoost,FT-Transformer,fpr_80,model_a - model_b,-0.0043484497109760305,0.0027710184106640515,-0.010042210204765126,0.001094498339200611,True
CatBoost,FT-Transformer,f2_80,model_a - model_b,-0.005098389254502875,0.0033148455033188582,-0.011538732646279243,0.001415968930469915,True
