rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__C,param_model__l1_ratio,param_model__class_weight
99,0.14298057789105467,0.004572526019093899,0.14570993258299736,1.0,0.0,"{0: 1, 1: 2}"
100,0.14297262028100363,0.004567586508186501,0.14571179395118217,10.0,0.75,"{0: 1, 1: 2}"
101,0.1429723487056782,0.004571161525991179,0.14571132245448598,10.0,1.0,"{0: 1, 1: 2}"
102,0.1429715047575017,0.004645709785897891,0.14540348282038412,1.0,0.75,"{0: 1, 1: 4}"
103,0.14296925309345254,0.004564621075580358,0.14571249571004055,10.0,0.5,"{0: 1, 1: 2}"
104,0.14296636941281862,0.005960029417125452,0.1416762764351163,0.001,0.5,"{0: 1, 1: 2}"
105,0.14296464844269502,0.0046333393417922735,0.1454031278590579,1.0,0.5,"{0: 1, 1: 4}"
106,0.14296383614476577,0.004573106064237732,0.14571170884940016,10.0,0.25,"{0: 1, 1: 2}"
107,0.14296331629784084,0.004735411983058175,0.14498981076172876,0.1,0.5,"{0: 1, 1: 8}"
108,0.14296235605941793,0.00457086821072869,0.14571080049423116,10.0,0.0,"{0: 1, 1: 2}"
109,0.1429600751059937,0.0046416717154804405,0.1453993302317441,1.0,0.25,"{0: 1, 1: 4}"
110,0.14295581103483734,0.0046489400814686815,0.14539654645882058,1.0,0.0,"{0: 1, 1: 4}"
111,0.14295203895832537,0.004645799928588436,0.14539618711276928,10.0,1.0,"{0: 1, 1: 4}"
112,0.14294946526625865,0.004654380241590705,0.1451685160489669,0.1,0.25,"{0: 1, 1: 6}"
113,0.142949245046133,0.004824832059418271,0.1448188172168023,0.1,1.0,"{0: 1, 1: 10}"
114,0.14294885764196769,0.004643793770299037,0.14539599798106667,10.0,0.75,"{0: 1, 1: 4}"
115,0.1429483236552995,0.004645749359196388,0.14539659886335127,10.0,0.5,"{0: 1, 1: 4}"
116,0.14294564985413122,0.0046424130286717305,0.14539644839288784,10.0,0.25,"{0: 1, 1: 4}"
117,0.14294500447355177,0.004641959143760623,0.14539594412472195,10.0,0.0,"{0: 1, 1: 4}"
118,0.1429195117277881,0.0046365717155726375,0.1451627629874222,0.1,0.0,"{0: 1, 1: 6}"
119,0.14290927372061724,0.004796966621065126,0.14480999654355656,0.1,0.5,balanced
120,0.1429074823720197,0.004754634871494525,0.14482612726663818,0.1,0.75,"{0: 1, 1: 10}"
121,0.14290282322163636,0.004635818960404533,0.1451709856459633,1.0,1.0,"{0: 1, 1: 6}"
122,0.14289611882185288,0.004633447872618887,0.1451685745253828,1.0,0.5,"{0: 1, 1: 6}"
123,0.1428954315317291,0.0046744628876794715,0.14498998613725064,0.1,0.25,"{0: 1, 1: 8}"
124,0.14289472748417592,0.00463569398449455,0.14516721580499545,1.0,0.25,"{0: 1, 1: 6}"
125,0.14289349781167174,0.004637613688937153,0.14517001622564654,1.0,0.75,"{0: 1, 1: 6}"
126,0.14289284649332984,0.0046307803948613295,0.14516763234665495,1.0,0.0,"{0: 1, 1: 6}"
127,0.14289229460292993,0.0046317899269272215,0.145169556869405,10.0,1.0,"{0: 1, 1: 6}"
128,0.14289152364395968,0.004632245696785149,0.14516872297570355,10.0,0.75,"{0: 1, 1: 6}"
129,0.1428902261975093,0.004631127735732168,0.14516881805763965,10.0,0.5,"{0: 1, 1: 6}"
130,0.14288985161827464,0.004631512308968719,0.14516965083847197,10.0,0.25,"{0: 1, 1: 6}"
131,0.14288946807326292,0.004630884805640074,0.1451697675070476,10.0,0.0,"{0: 1, 1: 6}"
132,0.1428879835558693,0.004730604054580971,0.14482384470461657,0.1,0.25,balanced
133,0.1428771724134965,0.004673252870620673,0.14498843008588674,0.1,0.0,"{0: 1, 1: 8}"
134,0.1428695393613494,0.004656873744432715,0.14499069678442092,1.0,0.75,"{0: 1, 1: 8}"
135,0.14286713563076195,0.004650382593615993,0.14498759648137305,1.0,1.0,"{0: 1, 1: 8}"
136,0.14286509420349183,0.0046576153440061885,0.14498750066632643,1.0,0.25,"{0: 1, 1: 8}"
137,0.14286454780410526,0.004656785954214309,0.144988486072205,1.0,0.5,"{0: 1, 1: 8}"
138,0.14285728321855043,0.004708603007582174,0.14483775723945713,0.1,0.25,"{0: 1, 1: 10}"
139,0.1428571174880346,0.00474691451831683,0.14483663556599796,0.1,0.5,"{0: 1, 1: 10}"
140,0.1428440651210124,0.004648512800743818,0.14498534298860524,10.0,1.0,"{0: 1, 1: 8}"
141,0.14284393360291986,0.004651805723433807,0.1449852802722342,10.0,0.75,"{0: 1, 1: 8}"
142,0.14284312558258183,0.004651874663092027,0.1449847537930941,10.0,0.5,"{0: 1, 1: 8}"
143,0.14284302928271503,0.0046484963063693945,0.1449849824482407,10.0,0.0,"{0: 1, 1: 8}"
144,0.142842975573857,0.004650920374726805,0.14498534175260205,1.0,0.0,"{0: 1, 1: 8}"
145,0.1428428951878461,0.004649198331765655,0.14498537151138574,10.0,0.25,"{0: 1, 1: 8}"
