candidate,fold,residual_dropout,n_blocks,ffn_dropout,ffn_d_hidden_multiplier,d_block,attention_n_heads,attention_dropout,validation_auprc,validation_auroc,validation_brier_score,best_epoch
6,2,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.15707680093375576,0.6363145939038191,0.07997763659420593,9
6,3,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.17263460279686516,0.6433035151308055,0.0804292232308812,7
6,4,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.13543235629320294,0.6098450239942289,0.0806230055161153,5
6,5,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.14702484821457873,0.6390104533207497,0.08028361890187245,12
7,1,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.15430675356072907,0.6255037282114875,0.08029386411726855,3
7,2,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.15570288445980485,0.6335631088464475,0.08005349965793992,11
7,3,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.17229601892790708,0.6436110534815701,0.07940122442712998,7
7,4,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.13477280626308208,0.6106201074214646,0.08070371096710259,13
7,5,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.148354996365955,0.6438695050232619,0.08015553862497748,19
8,1,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.15704868996086208,0.6336145511255028,0.0799147451942197,3
8,2,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.15672249703937122,0.6331364086791247,0.08000732835372631,12
8,3,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.17405930274482545,0.6455604235567868,0.07945760130292776,2
8,4,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.13458973190847756,0.6068687632971691,0.08084236723526105,7
8,5,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.14615808048644163,0.6417993163102449,0.08009484486404007,10
9,1,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.1530012431451922,0.6314482896795959,0.08004011151542073,2
9,2,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.154854818716583,0.63310757392797,0.08012377510420952,7
9,3,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.17246205332709494,0.6413689253378786,0.07947116470428855,5
9,4,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.13539389504918192,0.6146053596829155,0.08089318396076381,2
9,5,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.14786455200240037,0.6426889808249566,0.08014234562548045,9
10,1,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.15297198278040725,0.6306563493309796,0.08032503627632216,3
10,2,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.15592450580687428,0.6322272340840296,0.08024654629505518,8
10,3,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.17376835564819393,0.6427372540405089,0.07967695455824077,8
10,4,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.13848617649657635,0.6081348504140512,0.08071536381945016,30
