rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__max_depth,param_model__min_child_weight,param_model__gamma,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__max_delta_step,train_validation_auprc_gap
17,0.13798594144940052,0.0029624117356950807,0.26351640852569114,0.00496983352890059,0.6190180595221607,0.004799895076633486,6,20,0.1,1.0,0.85,0.5,20.0,1.0,1,0.12553046707629062
18,0.13762463623278687,0.00308594808999109,0.2782577450399687,0.006894245158757642,0.6205330353587475,0.011656573578348112,4,10,0.0,0.9,1.0,1.0,2.0,4.0,1,0.14063310880718183
19,0.13684789625750265,0.004796088023099785,0.23535171789236423,0.008393006321681998,0.6190341556527791,0.009988937878045976,4,10,0.5,1.0,1.0,5.0,20.0,10.134239310573417,0,0.09850382163486157
20,0.1368306965110643,0.0036592746782164675,0.33831069916179424,0.007978030918613866,0.6157627899483196,0.011726348985791009,5,20,0.1,0.9,0.5,0.1,1.0,10.134239310573417,0,0.20148000265072993
21,0.13550367647631184,0.004954662138160789,0.28815438097355023,0.0054372056368509995,0.6181102889146921,0.00896247428442601,5,2,0.05,0.6,0.85,5.0,5.0,1.0,1,0.1526507044972384
22,0.13474074981613343,0.0035860183740198466,0.33954218426019617,0.010202548591297392,0.6169020198303272,0.01145940229072024,5,10,0.05,1.0,0.5,0.5,1.0,6.0,3,0.20480143444406274
23,0.13470196295086234,0.004261005985875886,0.37055713000598267,0.009222926353227133,0.6136190228366452,0.013985527747889841,5,1,0.1,0.75,0.5,1.0,2.0,10.134239310573417,1,0.23585516705512033
24,0.1330053763931045,0.003922357899791423,0.3857120521698913,0.007969599003634953,0.6172353046892918,0.012164103400059332,5,5,0.1,0.9,0.5,1.0,0.5,4.0,3,0.2527066757767868
25,0.13216084620320978,0.0028911257790895585,0.325205273841504,0.006136300465562452,0.6126598077500063,0.008911548866275562,5,10,0.1,0.75,0.85,0.1,0.5,1.0,1,0.1930444276382942
26,0.1317656776112337,0.0032859364371108004,0.3666792546112763,0.0064907882180765515,0.6106218406630252,0.008894070881283859,6,10,0.5,0.6,0.85,1.0,0.5,1.0,3,0.23491357700004262
27,0.13162896679814368,0.005648656355020449,0.39555466596554484,0.008304441572281112,0.6081287192774492,0.014824476584016642,5,5,0.5,0.6,0.85,1.0,1.0,10.134239310573417,3,0.26392569916740116
28,0.13066496107448827,0.003456878418863451,0.37922111163979305,0.014196641796581122,0.6135687550148589,0.01139099243300843,6,5,0.5,1.0,1.0,0.0,5.0,4.0,3,0.24855615056530478
29,0.1271192115091988,0.0038491019397638134,0.5668493191413914,0.01046545356431238,0.5992426960158046,0.014708479930716651,6,2,0.1,0.6,1.0,0.1,1.0,10.134239310573417,1,0.43973010763219256
30,0.12670336760336948,0.003799025795462322,0.455243652202848,0.007706581669468739,0.6016131041054245,0.011138234926544574,6,20,0.0,0.6,1.0,0.01,1.0,10.134239310573417,0,0.32854028459947854
