rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__C,param_model__l1_ratio,param_model__class_weight
116,0.14289647206893835,0.004007662073782298,0.1465237081065878,1.0,0.5,"{0: 1, 1: 6}"
117,0.14288861203993503,0.004164935978828453,0.14598934971448002,0.1,0.25,"{0: 1, 1: 10}"
118,0.14288317342210893,0.004075926057229503,0.14630217306082605,1.0,1.0,"{0: 1, 1: 8}"
119,0.14288202068763997,0.004001153256418815,0.1465303333803764,1.0,0.25,"{0: 1, 1: 6}"
120,0.14287210969093608,0.0041686421533922,0.14606107414988068,1.0,1.0,balanced
121,0.14286517767244636,0.0040731672779881645,0.14630655087425615,1.0,0.75,"{0: 1, 1: 8}"
122,0.14286194293142285,0.004001430797860655,0.14653940966127155,1.0,0.0,"{0: 1, 1: 6}"
123,0.14285943331730983,0.004176932907345414,0.1460562018679973,0.1,0.0,"{0: 1, 1: 10}"
124,0.14285660415388923,0.004072600709962731,0.14631155799339304,1.0,0.5,"{0: 1, 1: 8}"
125,0.14285638416987773,0.004177735938643551,0.14606538497880067,1.0,0.75,balanced
126,0.1428504114886382,0.003986477836172543,0.14654744902566855,10.0,1.0,"{0: 1, 1: 6}"
127,0.14284908130125654,0.0039849052880285216,0.1465483728648787,10.0,0.75,"{0: 1, 1: 6}"
128,0.14284686980592007,0.003986221287259382,0.14654928752390317,10.0,0.5,"{0: 1, 1: 6}"
129,0.14284523632953833,0.003985161651279491,0.14655081546633514,10.0,0.25,"{0: 1, 1: 6}"
130,0.14284334043044578,0.0039870530449927525,0.14655242331850832,10.0,0.0,"{0: 1, 1: 6}"
131,0.14283619892803684,0.004060952152020249,0.14631389543704626,1.0,0.25,"{0: 1, 1: 8}"
132,0.1428340707534826,0.00417528874417479,0.14607600894946562,1.0,0.5,balanced
133,0.14282722463769032,0.004057775199807669,0.14631635508950674,1.0,0.0,"{0: 1, 1: 8}"
134,0.1428185390275376,0.004056171188449163,0.14631803979153407,10.0,1.0,"{0: 1, 1: 8}"
135,0.14281487911578045,0.00405638817320293,0.14631871325310053,10.0,0.75,"{0: 1, 1: 8}"
136,0.1428134148579952,0.0040552105192274025,0.1463200130358667,10.0,0.5,"{0: 1, 1: 8}"
137,0.1428114423531702,0.004054963487088426,0.14632019451860878,10.0,0.25,"{0: 1, 1: 8}"
138,0.14281077481669904,0.00405514382603076,0.14632085934749214,10.0,0.0,"{0: 1, 1: 8}"
139,0.14281032416256784,0.004130328134669212,0.14611094474561184,1.0,1.0,"{0: 1, 1: 10}"
140,0.1427997493037234,0.004190045060918368,0.14607934472784612,1.0,0.25,balanced
141,0.14279353905216136,0.004135200382324182,0.14611451307003154,1.0,0.75,"{0: 1, 1: 10}"
142,0.142787627805136,0.004135205327957464,0.14611206385526784,1.0,0.5,"{0: 1, 1: 10}"
143,0.14277462965095833,0.004188747348044003,0.14609393307101332,1.0,0.0,balanced
144,0.14275765926274434,0.004153988465077532,0.14611870009215283,1.0,0.25,"{0: 1, 1: 10}"
145,0.1427549160490757,0.0041686339939360235,0.14610035186744558,10.0,1.0,balanced
146,0.1427541715376605,0.00416944806779243,0.1461014946651129,10.0,0.5,balanced
147,0.1427526192851063,0.004170221930348877,0.14610096642245018,10.0,0.75,balanced
148,0.14275254208125737,0.0041695368781143405,0.14610213427574517,10.0,0.25,balanced
149,0.14275190814582026,0.0041673927859224085,0.14610341527215756,10.0,0.0,balanced
150,0.14274327896484712,0.004151216039538963,0.14612312024703494,1.0,0.0,"{0: 1, 1: 10}"
151,0.14273217960683016,0.0041396903129014085,0.14612630231917184,10.0,1.0,"{0: 1, 1: 10}"
152,0.14273201309824107,0.004138927629135015,0.14612749036443,10.0,0.5,"{0: 1, 1: 10}"
153,0.14273188163754436,0.004139454405898013,0.1461266706831141,10.0,0.75,"{0: 1, 1: 10}"
154,0.1427271608908404,0.004135317181844418,0.14612865665477257,10.0,0.25,"{0: 1, 1: 10}"
155,0.14272643455865344,0.00413518052405403,0.14613035709510055,10.0,0.0,"{0: 1, 1: 10}"
156,0.14270352130485553,0.00645408559072974,0.14316544770381984,0.01,0.5,"{0: 1, 1: 2}"
157,0.1426241829212443,0.005348126192462275,0.14513106651225516,0.01,0.0,
158,0.1425762672405524,0.006300663929946212,0.14266824790966703,0.001,0.25,"{0: 1, 1: 4}"
159,0.14249413724564122,0.005928523753984623,0.1411763001093175,0.001,1.0,balanced
160,0.14196466292200247,0.006393559762881576,0.1422305391826058,0.01,0.75,"{0: 1, 1: 2}"
161,0.14175200077603736,0.006626971935864449,0.1428990619000913,0.001,0.0,"{0: 1, 1: 2}"
162,0.14134933445180722,0.006874974098551129,0.14239152775913907,0.01,0.25,
163,0.1411620210883943,0.006564038938367029,0.14157217548075715,0.01,1.0,"{0: 1, 1: 2}"
164,0.14009404448826104,0.0068740126627189705,0.1405585142480476,0.01,0.5,
165,0.1389439076842047,0.0081307498218095,0.13945151530044114,0.001,0.25,"{0: 1, 1: 2}"
166,0.13883151029025026,0.00528852850599016,0.13775105806416305,0.001,0.75,"{0: 1, 1: 2}"
167,0.1384612460772492,0.006455324164828582,0.1386178992764545,0.01,0.75,
168,0.13827308756982243,0.008049928684605736,0.13916902601395115,0.001,0.0,
169,0.13685840457641416,0.007205283064614907,0.1374958990292465,0.01,1.0,
