rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__n_estimators,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples,param_model__class_weight,train_validation_auprc_gap
23,0.1391939080340947,0.004847164829708495,0.17045159569256288,0.0018994475885792724,0.627644077149785,0.010087755322422882,500,entropy,10,25,200,0.75,,balanced_subsample,0.031257687658468175
24,0.13905897087765803,0.004906548222163595,0.15786498244991776,0.0017352260323983905,0.6260551797142644,0.010393854516011982,200,entropy,6,2,200,0.75,,"{0: 1, 1: 2}",0.018806011572259723
25,0.13888813971118089,0.004949998490405664,0.16350210867532797,0.002040653667639993,0.6263173552931364,0.009595110605881108,500,gini,,10,200,,,balanced,0.02461396896414708
26,0.13885974665117035,0.005629370382871519,0.1661594530653258,0.0011549534951412962,0.6244212361784552,0.010286737060562342,700,entropy,6,10,100,,,"{0: 1, 1: 4}",0.027299706414155467
27,0.13879553920052048,0.006096731555718133,0.2997542348072274,0.005671002307262028,0.6248314122440009,0.009996838371821857,500,entropy,10,50,5,0.5,,"{0: 1, 1: 6}",0.16095869560670692
28,0.1386957154489796,0.005502139979623787,0.18976307694029065,0.0035689439097196566,0.6255138920743806,0.010290999129038024,200,gini,12,100,100,,0.5,"{0: 1, 1: 8}",0.05106736149131105
29,0.13850480191356188,0.005547509670051476,0.16657938491887006,0.001163285181619883,0.6244258435783296,0.010211993090630029,200,gini,6,100,100,,0.75,"{0: 1, 1: 4}",0.028074583005308185
30,0.13824730218058884,0.004759472345702618,0.16620247952977452,0.0020469193338774672,0.6267203614860263,0.009850090933412757,300,gini,10,100,200,,0.75,"{0: 1, 1: 4}",0.027955177349185678
31,0.13810485853232932,0.006668035196470773,0.3357704309027434,0.008542435932840832,0.6213580366225357,0.011168487633434497,300,gini,12,50,25,,0.75,"{0: 1, 1: 6}",0.19766557237041407
32,0.13776667582430172,0.004961292086350518,0.1962689447204835,0.0028274572024619606,0.6282615239782564,0.010649545290451357,700,gini,8,100,10,log2,,balanced,0.05850226889618179
