rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
71,0.12242952465845962,0.005798287472446614,0.1293471880980913,0.002312789054086142,entropy,4,50,25,0.5,15,"{0: 1, 1: 4}",0.0001,0.006917663439631669
72,0.12241831664154357,0.0032022973111796994,0.12474409489525225,0.0008388138546037606,log_loss,10,200,200,,31,"{0: 1, 1: 6}",0.001,0.0023257782537086796
73,0.12237305840606028,0.005599007963634223,0.16862095321876064,0.0025424243017046636,gini,10,50,100,,,"{0: 1, 1: 6}",0.0,0.04624789481270036
74,0.12221886009075086,0.003809059910366047,0.12370533961340757,0.0012919941882137726,gini,5,20,100,,,"{0: 1, 1: 4}",0.0005,0.0014864795226567085
75,0.12219908805557686,0.002991436296403698,0.1269636912050663,0.0021286671477953128,gini,4,50,200,sqrt,127,balanced,5e-05,0.004764603149489427
76,0.1219407692579374,0.00404295329516968,0.1232134886204526,0.0007706311988983319,gini,8,200,200,,63,"{0: 1, 1: 4}",0.0005,0.001272719362515204
77,0.12190239973645345,0.0029290011127935706,0.12824010051006496,0.0017441852708938717,gini,5,50,400,sqrt,127,"{0: 1, 1: 4}",5e-05,0.00633770077361151
78,0.12189839200896306,0.003334720934689627,0.12431072407131874,0.0010878215054936338,log_loss,4,500,10,,,balanced,0.001,0.0024123320623556793
79,0.12186850863793948,0.005685074656475599,0.12617496736340714,0.003397714801895856,gini,5,500,25,0.5,15,balanced,0.0005,0.004306458725467657
80,0.12163598843099961,0.002780508325954692,0.12727495466706937,0.0011879448398682767,log_loss,4,500,200,sqrt,31,"{0: 1, 1: 2}",0.0,0.005638966236069756
81,0.12151527881806264,0.0030011246485875573,0.12837550433233352,0.0020002801009974063,entropy,5,100,400,sqrt,63,"{0: 1, 1: 2}",1e-05,0.006860225514270887
82,0.12127863601404303,0.0037892196560572284,0.12615777228870334,0.0020911750022847312,entropy,4,50,200,sqrt,127,balanced,5e-05,0.0048791362746603145
83,0.12123088888260733,0.0038555688428850757,0.17319048095749273,0.0034536845132574516,log_loss,10,200,25,,127,,1e-05,0.0519595920748854
84,0.12092681665693557,0.002951410184388181,0.12424445697623536,0.002835734997508983,entropy,3,20,10,0.75,63,"{0: 1, 1: 2}",0.0005,0.0033176403192997916
85,0.12070844347545946,0.006528492831263122,0.12686806901515515,0.006295159562621937,log_loss,4,200,10,0.5,,"{0: 1, 1: 6}",1e-05,0.006159625539695693
86,0.12058140826900361,0.002263951014334135,0.12235956845472443,0.0023544478217840305,log_loss,8,200,200,0.75,63,,0.0005,0.0017781601857208146
87,0.12042217603569232,0.004126134786710334,0.12581227421703423,0.001916867691563001,gini,10,500,25,0.5,127,,0.0001,0.00539009818134191
88,0.1202360076102407,0.0037106043723868663,0.12590162317554604,0.0022488699864115992,entropy,4,50,200,sqrt,15,"{0: 1, 1: 6}",0.0001,0.005665615565305343
89,0.12022695077490146,0.0022852420776530062,0.12207810728852955,0.002257480549271937,gini,8,500,100,,63,,0.0001,0.001851156513628091
90,0.11996809699131221,0.004014422014803956,0.12396305374220065,0.002504389523873737,entropy,4,500,50,sqrt,31,"{0: 1, 1: 6}",0.0005,0.003994956750888443
