feature,importance
cat__diag_2_997,0.00018912577654197143
cat__diag_1_415,0.0001840005596504541
cat__diag_3_511,0.0001837919645775073
cat__diag_1_198,0.00018220592425707285
cat__diag_2_784,0.00018192386178070578
cat__diag_1_466,0.0001729250537792281
cat__diag_3_412,0.0001701484603883249
cat__glyburide-metformin_No,0.00016936853715886796
cat__diag_1_278,0.00016198886597254105
cat__diag_1_250.02,0.0001606062916481237
cat__diag_1_401,0.00016049334534220746
cat__diag_1_648,0.00015973936146527275
cat__diag_1_250.41,0.00015965850093638124
cat__diag_1_431,0.00015950483101666519
cat__diag_2_787,0.0001567213401246347
cat__diag_1_250.22,0.00015324548755457585
cat__diag_2_648,0.00015168394321478753
cat__diag_2_305,0.00015110682630299516
cat__diag_3_V12,0.0001510182793119214
cat__nateglinide_No,0.00014991724279951173
cat__diag_1_552,0.00014789362499902287
cat__diag_3_250.41,0.0001469448283758668
cat__diag_3_789,0.00014640344212242268
cat__diag_3_998,0.0001435104662640681
cat__diag_1_280,0.00014046261561315726
cat__diag_3_996,0.00013731981223334035
cat__diag_3_785,0.00013525664889777402
cat__diag_1_185,0.00013454785291608582
cat__diag_3_V15,0.0001340287167188492
cat__diag_3_280,0.00013385211593344408
cat__diag_3_560,0.00013204643258259223
cat__diag_3_70,0.00013091632554840273
cat__diag_3_250.8,0.00012910295712937437
cat__diag_2_244,0.00012858182952598946
cat__diag_3_648,0.00012804950217342855
cat__diag_3_438,0.0001257894192265122
cat__diag_3_787,0.0001249244019896594
cat__diag_1_458,0.00012490638853844245
cat__diag_1_997,0.0001208393056998884
cat__diag_2_V42,0.00011949955773168826
cat__diag_2_560,0.00011927191077730923
cat__diag_3_296,0.00011856069731587048
cat__diag_2_38,0.00011735423087617057
cat__diag_2_530,0.00011682872727705164
cat__diag_2_536,0.00011468043147342561
cat__diag_2_574,0.00011421253576064635
cat__diag_1_411,0.00011356422890704276
cat__diag_3_402,0.00011260942474354207
cat__pioglitazone_Up,0.00011171933643983411
