rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__max_depth,param_model__min_child_weight,param_model__gamma,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__max_delta_step,train_validation_auprc_gap
14,0.14672565606600793,0.00808649227369217,0.22939461095610084,0.003710137769558403,0.6267473108017677,0.009812592785390864,4,2,1.0,1.0,0.5,0.1,0.5,2.0,0,0.0826689548900929
15,0.1463000167972571,0.009387206888648308,0.19867632277549566,0.003288838715110162,0.6262920917120334,0.012333286026666739,3,5,0.0,1.0,0.85,0.0,20.0,6.0,1,0.05237630597823856
16,0.14418842235294874,0.008299199567469417,0.3378791624220315,0.004630714969967813,0.6163768681119735,0.009293425540170085,5,20,0.1,0.9,0.5,0.1,1.0,10.134239310573417,0,0.19369074006908274
17,0.14387515641113396,0.008111936807416308,0.2929855776881548,0.0026669496077101873,0.6235438533058913,0.010169311249008215,5,2,0.05,0.6,0.85,5.0,5.0,1.0,1,0.14911042127702084
18,0.14385819623316018,0.008864423891303161,0.28113360728930736,0.0038652256720592033,0.6199391844680435,0.00950354386818643,4,10,0.0,0.9,1.0,1.0,2.0,4.0,1,0.13727541105614718
19,0.14270281548608946,0.008703154617342225,0.24350691413936362,0.0050226989974029536,0.6188731744108602,0.011031594083115766,4,10,0.5,1.0,1.0,5.0,20.0,10.134239310573417,0,0.10080409865327417
20,0.14264676755478362,0.007137854368974266,0.24618526170376037,0.005802801847972051,0.62238119161619,0.009958080636754782,5,10,0.25,1.0,0.5,0.1,0.5,1.0,0,0.10353849414897676
21,0.14183713742520468,0.00710396285758925,0.3719292724718194,0.004152299305053021,0.6151821633198473,0.007884162442190933,5,1,0.1,0.75,0.5,1.0,2.0,10.134239310573417,1,0.23009213504661472
22,0.141483712841828,0.0072052217790070025,0.266687286940371,0.005797210026815784,0.6197550157209886,0.009957177461082685,6,20,0.1,1.0,0.85,0.5,20.0,1.0,1,0.12520357409854302
23,0.14131614957102384,0.007643424566952132,0.33914878198190973,0.00596358614681922,0.6185261619123485,0.008270297421509597,5,10,0.05,1.0,0.5,0.5,1.0,6.0,3,0.1978326324108859
24,0.1405655966618502,0.008956775532398873,0.38715720671886367,0.006640464419062173,0.6173191261944524,0.00842070883707408,5,5,0.1,0.9,0.5,1.0,0.5,4.0,3,0.24659161005701347
25,0.1401407462052027,0.006692038480164688,0.32947021030436424,0.0006107551294459763,0.6162481968149898,0.010069975991246335,5,10,0.1,0.75,0.85,0.1,0.5,1.0,1,0.18932946409916154
26,0.13927498048863599,0.009148415770847853,0.37295960262808786,0.003066205152933635,0.6152463512238867,0.012392514746844305,6,10,0.5,0.6,0.85,1.0,0.5,1.0,3,0.23368462213945188
27,0.1388450246841084,0.00823974096731204,0.3987790230464604,0.007671094565915143,0.6125349030946807,0.009905619443157428,6,5,0.5,1.0,1.0,0.0,5.0,4.0,3,0.259933998362352
28,0.13688276964589646,0.0063863193819730804,0.39834964616688373,0.0024457874590998762,0.607350504637667,0.007644751537713049,5,5,0.5,0.6,0.85,1.0,1.0,10.134239310573417,3,0.26146687652098727
29,0.135719621631953,0.00773986433473314,0.4585580334856899,0.0031232031412605954,0.6029480434597951,0.010506606802456292,6,20,0.0,0.6,1.0,0.01,1.0,10.134239310573417,0,0.3228384118537369
30,0.13356208988756457,0.007685196842583233,0.5640001566945356,0.004780033910551152,0.597849336650532,0.007760785535003102,6,2,0.1,0.6,1.0,0.1,1.0,10.134239310573417,1,0.43043806680697105
